Treat,Rep,Section,Dead,FishIn,FishOut
0,1,3,1,23,21
0,1,3,1,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,1,3,0,23,21
0,2,1,1,30,26
0,2,1,1,30,26
0,2,1,1,30,26
0,2,1,1,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,2,1,0,30,26
0,3,3,1,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
0,3,3,0,31,30
2.5,4,1,1,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,4,1,0,27,26
2.5,5,3,1,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,5,3,0,27,26
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
2.5,6,2,0,23,23
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,7,1,0,17,17
6.5,8,3,1,27,25
6.5,8,3,1,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,8,3,0,27,25
6.5,9,2,1,22,20
6.5,9,2,1,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
6.5,9,2,0,22,20
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,10,1,0,23,23
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,1,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,11,3,0,28,24
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,1,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
10,12,2,0,27,23
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,1,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,13,1,0,23,17
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,1,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,14,3,0,24,20
14.5,15,2,1,23,21
14.5,15,2,1,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
14.5,15,2,0,23,21
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,1,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,16,3,0,18,11
21,17,2,1,17,15
21,17,2,1,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,17,2,0,17,15
21,18,3,1,17,15
21,18,3,1,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
21,18,3,0,17,15
